,match_id,start_date,ground_loc,winning_team_name,losing_team_name,winning_innings_number,winning_overs,winning_runs,winning_wickets,winning_RR,losing_innings_number,losing_overs,losing_runs,losing_wickets,losing_RR,NRR,winning_team_prematch_elo,losing_team_prematch_elo,prematch_elo_difference,winning_team_win_percentage,elo_change,winning_team_postmatch_elo,losing_team_postmatch_elo
0,CSK vs RCB - 22-Mar-24,2024-03-22 00:00:00,Chennai,CSK,RCB,2,18.4,176,4,9.42,1,20.0,173,6,8.65,0.7699999999999996,1000.0,1000.0,0.0,0.5,22.12,1022.12,977.88
1,DC vs Punjab Kings - 23-Mar-24,2024-03-23 00:00:00,Mullanpur,Punjab Kings,DC,2,19.2,177,6,9.15,1,20.0,174,9,8.7,0.45000000000000107,1000.0,1000.0,0.0,0.5,18.13,1018.13,981.87
2,KKR vs SRH - 23-Mar-24,2024-03-23 00:00:00,Eden Gardens,KKR,SRH,1,20.0,208,7,10.4,2,20.0,204,7,10.2,0.20000000000000107,1000.0,1000.0,0.0,0.5,15.0,1015.0,985.0
3,GT vs MI - 24-Mar-24,2024-03-24 00:00:00,Ahmedabad,GT,MI,1,20.0,168,6,8.4,2,20.0,162,9,8.1,0.3000000000000007,1000.0,1000.0,0.0,0.5,16.25,1016.25,983.75
4,LSG vs RR - 24-Mar-24,2024-03-24 00:00:00,Jaipur,RR,LSG,1,20.0,193,4,9.65,2,20.0,173,6,8.65,1.0,1000.0,1000.0,0.0,0.5,25.0,1025.0,975.0
5,Punjab Kings vs RCB - 25-Mar-24,2024-03-25 00:00:00,Bengaluru,RCB,Punjab Kings,2,19.2,178,6,9.2,1,20.0,176,6,8.8,0.3999999999999986,977.88,1018.13,40.25,0.44,19.6,997.48,998.53
6,CSK vs GT - 26-Mar-24,2024-03-26 00:00:00,Chennai,CSK,GT,1,20.0,206,6,10.3,2,20.0,143,8,7.15,3.1500000000000004,1022.12,1016.25,-5.8700000000000045,0.51,50.84,1072.96,965.41
7,MI vs SRH - 27-Mar-24,2024-03-27 00:00:00,Hyderabad,SRH,MI,1,20.0,277,3,13.85,2,20.0,246,5,12.3,1.549999999999999,985.0,983.75,-1.25,0.5,31.87,1016.87,951.88
8,DC vs RR - 28-Mar-24,2024-03-28 00:00:00,Jaipur,RR,DC,1,20.0,185,5,9.25,2,20.0,173,5,8.65,0.5999999999999996,1025.0,981.87,-43.129999999999995,0.56,17.6,1042.6,964.27
9,KKR vs RCB - 29-Mar-24,2024-03-29 00:00:00,Bengaluru,KKR,RCB,2,16.5,186,3,11.04,1,20.0,182,6,9.1,1.9399999999999995,1015.0,997.48,-17.519999999999982,0.53,34.54,1049.54,962.94
10,LSG vs Punjab Kings - 30-Mar-24,2024-03-30 00:00:00,Lucknow,LSG,Punjab Kings,1,20.0,199,8,9.95,2,20.0,178,5,8.9,1.049999999999999,975.0,998.53,23.529999999999973,0.47,27.16,1002.16,971.37
11,CSK vs DC - 31-Mar-24,2024-03-31 00:00:00,Visakhapatnam,DC,CSK,1,20.0,191,5,9.55,2,20.0,171,6,8.55,1.0,964.27,1072.96,108.69000000000005,0.35,32.5,996.77,1040.46
12,GT vs SRH - 31-Mar-24,2024-03-31 00:00:00,Ahmedabad,GT,SRH,2,19.1,168,3,8.76,1,20.0,162,8,8.1,0.6600000000000001,965.41,1016.87,51.460000000000036,0.43,23.66,989.0699999999999,993.21
13,MI vs RR - 01-Apr-24,2024-04-01 00:00:00,Wankhede,RR,MI,2,15.3,127,4,8.19,1,20.0,125,9,6.25,1.9399999999999995,1042.6,951.88,-90.71999999999991,0.63,27.19,1069.79,924.6899999999999
14,LSG vs RCB - 02-Apr-24,2024-04-02 00:00:00,Bengaluru,LSG,RCB,1,20.0,181,5,9.05,2,19.4,153,10,7.77,1.2800000000000011,1002.16,962.94,-39.219999999999914,0.56,25.08,1027.24,937.86
15,DC vs KKR - 03-Apr-24,2024-04-03 00:00:00,Visakhapatnam,KKR,DC,1,20.0,272,7,13.6,2,17.2,166,10,9.57,4.029999999999999,1049.54,996.77,-52.76999999999998,0.58,52.82,1102.36,943.9499999999999
16,GT vs Punjab Kings - 04-Apr-24,2024-04-04 00:00:00,Ahmedabad,Punjab Kings,GT,2,19.5,200,7,10.08,1,20.0,199,4,9.95,0.13000000000000078,971.37,989.0699999999999,17.699999999999932,0.47,14.97,986.34,974.0999999999999
17,CSK vs SRH - 05-Apr-24,2024-04-05 00:00:00,Hyderabad,SRH,CSK,2,18.1,166,4,9.13,1,20.0,165,5,8.25,0.8800000000000008,993.21,1040.46,47.25,0.43,26.79,1020.0,1013.6700000000001
18,RCB vs RR - 06-Apr-24,2024-04-06 00:00:00,Jaipur,RR,RCB,2,19.1,189,4,9.86,1,20.0,183,3,9.15,0.7099999999999991,1069.79,937.86,-131.92999999999995,0.68,13.68,1083.47,924.1800000000001
19,DC vs MI - 07-Apr-24,2024-04-07 00:00:00,Wankhede,MI,DC,1,20.0,234,5,11.7,2,20.0,205,8,10.25,1.4499999999999993,924.6899999999999,943.9499999999999,19.25999999999999,0.47,32.46,957.15,911.4899999999999
20,GT vs LSG - 07-Apr-24,2024-04-07 00:00:00,Lucknow,LSG,GT,1,20.0,163,5,8.15,2,18.5,130,10,6.9,1.25,1027.24,974.0999999999999,-53.1400000000001,0.58,23.63,1050.8700000000001,950.4699999999999
21,CSK vs KKR - 08-Apr-24,2024-04-08 00:00:00,Chennai,CSK,KKR,2,17.4,141,3,7.98,1,20.0,137,9,6.85,1.1300000000000008,1013.6700000000001,1102.36,88.68999999999983,0.38,33.02,1046.69,1069.34
22,Punjab Kings vs SRH - 09-Apr-24,2024-04-09 00:00:00,Mullanpur,SRH,Punjab Kings,1,20.0,182,9,9.1,2,20.0,180,6,9,0.09999999999999964,1020.0,986.34,-33.65999999999997,0.55,12.37,1032.37,973.97
23,GT vs RR - 10-Apr-24,2024-04-10 00:00:00,Jaipur,GT,RR,2,20.0,199,7,9.95,1,20.0,196,3,9.8,0.14999999999999858,950.4699999999999,1083.47,133.0000000000001,0.32,19.55,970.0199999999999,1063.92
24,MI vs RCB - 11-Apr-24,2024-04-11 00:00:00,Wankhede,MI,RCB,2,15.3,199,3,12.83,1,20.0,196,8,9.8,3.0299999999999994,957.15,924.1800000000001,-32.969999999999914,0.55,45.34,1002.49,878.84
25,DC vs LSG - 12-Apr-24,2024-04-12 00:00:00,Lucknow,DC,LSG,2,18.1,170,4,9.35,1,20.0,167,7,8.35,1.0,911.4899999999999,1050.8700000000001,139.38000000000022,0.31,34.5,945.9899999999999,1016.3700000000001
26,Punjab Kings vs RR - 13-Apr-24,2024-04-13 00:00:00,Mullanpur,RR,Punjab Kings,2,19.5,152,7,7.66,1,20.0,147,8,7.35,0.3100000000000005,1063.92,973.97,-89.95000000000005,0.63,12.12,1076.04,961.85
27,CSK vs MI - 14-Apr-24,2024-04-14 00:00:00,Wankhede,CSK,MI,1,20.0,206,4,10.3,2,20.0,186,6,9.3,1.0,1046.69,1002.49,-44.200000000000045,0.56,22.0,1068.69,980.49
28,KKR vs LSG - 14-Apr-24,2024-04-14 00:00:00,Eden Gardens,KKR,LSG,2,15.4,162,2,10.34,1,20.0,161,7,8.05,2.289999999999999,1069.34,1016.3700000000001,-52.9699999999998,0.58,34.54,1103.8799999999999,981.8300000000002
29,RCB vs SRH - 15-Apr-24,2024-04-15 00:00:00,Bengaluru,SRH,RCB,1,20.0,287,3,14.35,2,20.0,262,7,13.1,1.25,1032.37,878.84,-153.52999999999986,0.71,16.31,1048.6799999999998,862.5300000000001
30,KKR vs RR - 16-Apr-24,2024-04-16 00:00:00,Eden Gardens,RR,KKR,2,20.0,224,8,11.2,1,20.0,223,6,11.15,0.049999999999998934,1076.04,1103.8799999999999,27.839999999999918,0.46,14.17,1090.21,1089.7099999999998
31,DC vs GT - 17-Apr-24,2024-04-17 00:00:00,Ahmedabad,DC,GT,2,8.5,92,4,10.41,1,17.3,89,10,5.08,5.33,945.9899999999999,970.0199999999999,24.029999999999973,0.47,83.87,1029.86,886.1499999999999
32,MI vs Punjab Kings - 18-Apr-24,2024-04-18 00:00:00,Mullanpur,MI,Punjab Kings,1,20.0,192,7,9.6,2,19.1,183,10,9.54,0.0600000000000005,980.49,961.85,-18.639999999999986,0.53,12.46,992.95,949.39
33,CSK vs LSG - 19-Apr-24,2024-04-19 00:00:00,Lucknow,LSG,CSK,2,19.0,180,2,9.47,1,20.0,176,6,8.8,0.6699999999999999,981.8300000000002,1068.69,86.8599999999999,0.38,25.88,1007.7100000000002,1042.81
34,DC vs SRH - 20-Apr-24,2024-04-20 00:00:00,Delhi,SRH,DC,1,20.0,266,7,13.3,2,19.1,199,10,10.38,2.92,1048.6799999999998,1029.86,-18.819999999999936,0.53,46.06,1094.7399999999998,983.8
35,GT vs Punjab Kings - 21-Apr-24,2024-04-21 00:00:00,Mullanpur,GT,Punjab Kings,2,19.1,146,7,7.61,1,20.0,142,10,7.1,0.5100000000000007,886.1499999999999,949.39,63.24000000000012,0.41,22.27,908.4199999999998,927.12
36,KKR vs RCB - 21-Apr-24,2024-04-21 00:00:00,Eden Gardens,KKR,RCB,1,20.0,222,6,11.1,2,20.0,221,10,11.05,0.049999999999998934,1089.7099999999998,862.5300000000001,-227.17999999999972,0.79,5.51,1095.2199999999998,857.0200000000001
37,MI vs RR - 22-Apr-24,2024-04-22 00:00:00,Jaipur,RR,MI,2,18.4,183,1,9.8,1,20.0,179,9,8.95,0.8500000000000014,1090.21,992.95,-97.25999999999999,0.64,16.65,1106.8600000000001,976.3000000000001
38,CSK vs LSG - 23-Apr-24,2024-04-23 00:00:00,Chennai,LSG,CSK,2,19.3,213,4,10.92,1,20.0,210,4,10.5,0.41999999999999993,1007.7100000000002,1042.81,35.099999999999795,0.45,19.53,1027.2400000000002,1023.28
39,DC vs GT - 24-Apr-24,2024-04-24 00:00:00,Delhi,DC,GT,1,20.0,224,4,11.2,2,20.0,220,8,11,0.1999999999999993,983.8,908.4199999999998,-75.38000000000011,0.61,11.7,995.5,896.7199999999998
40,RCB vs SRH - 25-Apr-24,2024-04-25 00:00:00,Hyderabad,RCB,SRH,1,20.0,206,7,10.3,2,20.0,171,8,8.55,1.75,857.0200000000001,1094.7399999999998,237.7199999999997,0.2,55.0,912.0200000000001,1039.7399999999998
41,KKR vs Punjab Kings - 26-Apr-24,2024-04-26 00:00:00,Eden Gardens,Punjab Kings,KKR,2,18.4,262,2,14.03,1,20.0,261,6,13.05,0.9799999999999986,927.12,1095.2199999999998,168.0999999999998,0.28,35.64,962.76,1059.5799999999997
42,DC vs MI - 27-Apr-24,2024-04-27 00:00:00,Delhi,DC,MI,1,20.0,257,4,12.85,2,20.0,247,9,12.35,0.5,995.5,976.3000000000001,-19.199999999999932,0.53,17.62,1013.12,958.6800000000001
43,LSG vs RR - 27-Apr-24,2024-04-27 00:00:00,Lucknow,RR,LSG,2,19.0,199,3,10.47,1,20.0,196,5,9.8,0.6699999999999999,1106.8600000000001,1027.2400000000002,-79.61999999999989,0.61,16.28,1123.14,1010.9600000000003
44,CSK vs SRH - 28-Apr-24,2024-04-28 00:00:00,Chennai,CSK,SRH,1,20.0,212,3,10.6,2,18.5,134,10,7.11,3.4899999999999993,1023.28,1039.7399999999998,16.45999999999981,0.48,58.37,1081.6499999999999,981.3699999999998
45,GT vs RCB - 28-Apr-24,2024-04-28 00:00:00,Ahmedabad,RCB,GT,2,16.0,206,1,12.87,1,20.0,200,3,10,2.869999999999999,912.0200000000001,896.7199999999998,-15.300000000000296,0.52,46.44,958.46,850.2799999999997
46,DC vs KKR - 29-Apr-24,2024-04-29 00:00:00,Eden Gardens,KKR,DC,2,16.3,157,3,9.51,1,20.0,153,9,7.65,1.8599999999999994,1059.5799999999997,1013.12,-46.459999999999695,0.57,30.74,1090.3199999999997,982.38
47,LSG vs MI - 30-Apr-24,2024-04-30 00:00:00,Lucknow,LSG,MI,2,19.2,145,6,7.5,1,20.0,144,7,7.2,0.2999999999999998,1010.9600000000003,958.6800000000001,-52.2800000000002,0.57,13.97,1024.9300000000003,944.71
48,CSK vs Punjab Kings - 01-May-24,2024-05-01 00:00:00,Chennai,Punjab Kings,CSK,2,17.5,163,3,9.14,1,20.0,162,7,8.1,1.040000000000001,962.76,1081.6499999999999,118.88999999999987,0.34,33.66,996.42,1047.9899999999998
49,RR vs SRH - 02-May-24,2024-05-02 00:00:00,Hyderabad,SRH,RR,1,20.0,201,3,10.05,2,20.0,200,7,10,0.05000000000000071,981.3699999999998,1123.14,141.77000000000032,0.31,18.11,999.4799999999998,1105.0300000000002
50,KKR vs MI - 03-May-24,2024-05-03 00:00:00,Wankhede,KKR,MI,1,19.5,169,10,8.52,2,18.5,145,10,7.69,0.8299999999999992,1090.3199999999997,944.71,-145.60999999999967,0.7,13.72,1104.0399999999997,930.99
51,GT vs RCB - 04-May-24,2024-05-04 00:00:00,Bengaluru,RCB,GT,2,13.4,152,6,11.12,1,19.3,147,10,7.53,3.589999999999999,958.46,850.2799999999997,-108.18000000000029,0.65,40.16,998.62,810.1199999999998
52,CSK vs Punjab Kings - 05-May-24,2024-05-05 00:00:00,Dharamsala,CSK,Punjab Kings,1,20.0,167,9,8.35,2,20.0,139,9,6.95,1.3999999999999995,1047.9899999999998,996.42,-51.56999999999982,0.57,25.8,1073.7899999999997,970.62
53,KKR vs LSG - 05-May-24,2024-05-05 00:00:00,Lucknow,KKR,LSG,1,20.0,235,6,11.75,2,16.1,137,10,8.47,3.2799999999999994,1104.0399999999997,1024.9300000000003,-79.10999999999945,0.61,41.73,1145.7699999999998,983.2000000000003
54,MI vs SRH - 06-May-24,2024-05-06 00:00:00,Wankhede,MI,SRH,2,17.2,174,3,10.03,1,20.0,173,8,8.65,1.379999999999999,930.99,999.4799999999998,68.48999999999978,0.4,35.7,966.69,963.7799999999997
55,DC vs RR - 07-May-24,2024-05-07 00:00:00,Delhi,DC,RR,1,20.0,221,8,11.05,2,20.0,201,8,10.05,1.0,982.38,1105.0300000000002,122.6500000000002,0.33,33.5,1015.88,1071.5300000000002
56,LSG vs SRH - 08-May-24,2024-05-08 00:00:00,Hyderabad,SRH,LSG,2,9.4,167,0,17.27,1,20.0,165,4,8.25,9.02,963.7799999999997,983.2000000000003,19.420000000000528,0.47,132.77,1096.5499999999997,850.4300000000003
57,Punjab Kings vs RCB - 09-May-24,2024-05-09 00:00:00,Dharamsala,RCB,Punjab Kings,1,20.0,241,7,12.05,2,17.0,181,10,10.64,1.4100000000000001,998.62,970.62,-28.0,0.54,27.71,1026.33,942.91
58,CSK vs GT - 10-May-24,2024-05-10 00:00:00,Ahmedabad,GT,CSK,1,20.0,231,3,11.55,2,20.0,196,8,9.8,1.75,810.1199999999998,1073.7899999999997,263.66999999999996,0.18,56.38,866.4999999999998,1017.4099999999997
59,KKR vs MI - 11-May-24,2024-05-11 00:00:00,Eden Gardens,KKR,MI,1,16.0,157,7,9.81,2,16.0,139,8,8.68,1.1300000000000008,1145.7699999999998,966.69,-179.0799999999997,0.74,13.85,1159.6199999999997,952.84
60,CSK vs RR - 12-May-24,2024-05-12 00:00:00,Chennai,CSK,RR,2,18.2,145,5,7.9,1,20.0,141,5,7.05,0.8500000000000005,1017.4099999999997,1071.5300000000002,54.12000000000046,0.42,26.83,1044.2399999999998,1044.7000000000003
61,DC vs RCB - 12-May-24,2024-05-12 00:00:00,Bengaluru,RCB,DC,1,20.0,187,9,9.35,2,19.1,140,10,7.3,2.05,1026.33,1015.88,-10.449999999999932,0.52,36.6,1062.9299999999998,979.28
62,DC vs LSG - 14-May-24,2024-05-14 00:00:00,Delhi,DC,LSG,1,20.0,208,4,10.4,2,20.0,189,9,9.45,0.9500000000000011,979.28,850.4300000000003,-128.84999999999968,0.68,15.6,994.88,834.8300000000003
63,Punjab Kings vs RR - 15-May-24,2024-05-15 00:00:00,Guwahati,Punjab Kings,RR,2,18.5,145,5,7.69,1,20.0,144,9,7.2,0.4900000000000002,942.91,1044.7000000000003,101.7900000000003,0.36,23.84,966.75,1020.8600000000002
64,LSG vs MI - 17-May-24,2024-05-17 00:00:00,Wankhede,LSG,MI,1,20.0,214,6,10.7,2,20.0,196,6,9.8,0.8999999999999986,834.8300000000003,952.84,118.00999999999976,0.34,31.35,866.1800000000003,921.49
65,CSK vs RCB - 18-May-24,2024-05-18 00:00:00,Bengaluru,RCB,CSK,1,20.0,218,5,10.9,2,20.0,191,7,9.55,1.3499999999999996,1062.9299999999998,1044.2399999999998,-18.690000000000055,0.53,27.61,1090.5399999999997,1016.6299999999998
66,Punjab Kings vs SRH - 19-May-24,2024-05-19 00:00:00,Hyderabad,SRH,Punjab Kings,2,19.1,215,6,11.21,1,20.0,214,5,10.7,0.5100000000000016,1096.5499999999997,966.75,-129.79999999999973,0.68,12.08,1108.6299999999997,954.67
67,KKR vs SRH - 21-May-24,2024-05-21 00:00:00,Ahmedabad,KKR,SRH,2,13.4,164,2,12,1,19.3,159,10,8.15,3.8499999999999996,1159.6199999999997,1108.6299999999997,-50.99000000000001,0.57,52.14,1211.7599999999998,1056.4899999999996
68,RCB vs RR - 22-May-24,2024-05-22 00:00:00,Ahmedabad,RR,RCB,2,19.0,174,6,9.15,1,20.0,172,8,8.6,0.5500000000000007,1020.8600000000002,1090.5399999999997,69.6799999999995,0.4,23.25,1044.1100000000001,1067.2899999999997
69,RR vs SRH - 24-May-24,2024-05-24 00:00:00,Chennai,SRH,RR,1,20.0,175,9,8.75,2,20.0,139,7,6.95,1.7999999999999998,1056.4899999999996,1044.1100000000001,-12.379999999999427,0.52,33.6,1090.0899999999995,1010.5100000000001
70,KKR vs SRH - 26-May-24,2024-05-26 00:00:00,Chennai,KKR,SRH,2,10.3,114,2,10.85,1,18.3,113,10,6.1,4.75,1211.7599999999998,1090.0899999999995,-121.6700000000003,0.67,47.44,1259.1999999999998,1042.6499999999994
