,bowler,rating,deliveries
0,A Ashish Reddy,1030.8000000000009,540
1,A Badoni,1010.9999999999999,50
2,A Chandila,1087.4000000000008,468
3,A Choudhary,1042.500000000001,216
4,A Dananjaya,973.6000000000001,50
5,A Flintoff,964.9000000000002,132
6,A Kamboj,998.3000000000003,136
7,A Kumble,1123.399999999989,1966
8,A Mishra,1092.8999999999712,6888
9,A Mithun,951.9000000000005,624
10,A Nehra,1074.999999999999,3948
11,A Nel,995.3,36
12,A Nortje,1000.4000000000024,2194
13,A Singh,1012.1000000000001,972
14,A Symonds,1040.1999999999948,1080
15,A Uniyal,992.4,76
16,A Zampa,1065.0999999999988,850
17,AA Chavan,1018.3000000000004,510
18,AA Jhunjhunwala,966.2000000000008,176
19,AA Kazi,997.9,26
20,AA Noffke,1000.9,50
21,AB Agarkar,984.200000000002,1640
22,AB Dinda,1033.2000000000057,3178
23,AB McDonald,1041.9999999999989,376
24,AC Gilchrist,1014.7,2
25,AC Thomas,1077.9,654
26,AC Voges,984.7999999999998,112
27,AD Mascarenhas,1078.3999999999987,620
28,AD Mathews,1018.0999999999939,1614
29,AD Russell,1055.7999999999931,3542
30,AF Milne,1003.5000000000013,434
31,AG Murtaza,1074.499999999998,538
32,AJ Finch,992.0,88
33,AJ Hosein,984.1,48
34,AJ Tye,1031.6999999999987,1428
35,AK Markram,967.6999999999983,246
36,AL Menaria,1014.5000000000009,226
37,AM Nayar,1003.2000000000002,478
38,AM Rahane,1014.5999999999997,12
39,AM Salvi,1027.999999999999,312
40,AN Ahmed,1018.4999999999998,724
41,AP Dole,1005.9000000000009,146
42,AR Patel,1068.2999999999677,6304
43,AS Joseph,986.6999999999983,908
44,AS Rajpoot,1012.2000000000023,1134
45,AS Raut,983.2999999999998,60
46,AS Roy,1014.7999999999987,284
47,AU Rashid,977.2000000000003,120
48,AUK Pathan,993.9000000000007,82
49,Abdul Samad,955.3000000000001,110
50,Abdur Razzak,985.9999999999997,28
51,Abhishek Sharma,1024.2999999999975,556
52,Akash Deep,966.4,350
53,Akash Madhwal,1046.7000000000016,558
54,Akash Singh,983.4000000000002,282
55,Aman Hakim Khan,988.9,12
56,Anand Rajan,1044.9999999999984,324
57,Ankit Sharma,1073.6999999999994,750
58,Ankit Soni,1003.800000000002,224
59,Anureet Singh,1029.899999999996,860
60,Arjun Tendulkar,1023.6000000000008,166
61,Arshad Khan,984.7999999999998,306
62,Arshad Khan (2),985.7999999999998,26
63,Arshdeep Singh,1054.5999999999983,2906
64,Atharva Taide,995.3,2
65,Avesh Khan,1073.999999999996,2780
66,Azhar Mahmood,1053.0000000000011,1104
67,Azmatullah Omarzai,1014.8000000000001,262
68,B Akhil,1025.9000000000003,386
69,B Chipli,984.6,12
70,B Geeves,953.4000000000004,98
71,B Kumar,1052.6000000000101,8120
72,B Laughlin,1033.4000000000005,358
73,B Lee,1059.3000000000022,1832
74,B Stanlake,1043.1000000000001,300
75,BA Bhatt,1030.7000000000003,606
76,BA Stokes,1022.1999999999925,1446
77,BAW Mendis,1040.8999999999971,496
78,BB Sran,973.0000000000016,1032
79,BCJ Cutting,981.7999999999997,576
80,BE Hendricks,1021.5000000000007,314
81,BJ Hodge,1079.399999999998,476
82,BJ Rohrer,992.7000000000002,14
83,BMAJ Mendis,1002.0999999999998,60
84,BW Hilfenhaus,1051.0999999999967,780
85,Basil Thampi,999.6000000000003,1078
86,Bipul Sharma,1048.900000000001,872
87,C Ganapathy,986.9000000000002,12
88,C Green,1045.7999999999995,924
89,C Munro,992.0999999999997,24
90,C Nanda,1020.7000000000002,100
91,C Sakariya,1097.3999999999992,920
92,C de Grandhomme,1007.9999999999991,460
93,CH Gayle,1038.8999999999987,1168
94,CH Morris,1074.799999999999,3602
95,CJ Anderson,977.100000000003,630
96,CJ Dala,982.3000000000003,38
97,CJ Green,998.5000000000001,34
98,CJ Jordan,1004.9999999999991,1434
99,CJ McKay,989.6000000000003,84
100,CK Kapugedera,950.4,34
101,CK Langeveldt,1085.6000000000001,330
102,CL White,958.6999999999999,92
103,CR Brathwaite,1031.2999999999986,532
104,CR Woakes,1069.9999999999995,926
105,CRD Fernando,1102.699999999998,498
106,CV Varun,1116.6999999999905,3248
107,D Brevis,999.5,6
108,D Jansen,990.5000000000001,56
109,D Kalyankrishna,965.7999999999998,100
110,D Pretorius,1005.0999999999998,332
111,D Salunkhe,987.3999999999999,102
112,D Wiese,1011.7000000000011,614
113,D du Preez,1037.9999999999993,86
114,DA Warner,1001.4999999999999,4
115,DAJ Bracewell,1010.0999999999997,50
116,DB Ravi Teja,988.9999999999998,36
117,DE Bollinger,1074.0999999999972,1200
118,DG Nalkande,994.7,178
119,DJ Bravo,1096.1999999999846,6592
120,DJ Harris,992.1999999999998,36
121,DJ Hooda,989.8000000000038,768
122,DJ Hussey,1000.4000000000002,646
123,DJ Mitchell,965.3999999999995,102
124,DJ Muthuswami,1035.3000000000006,168
125,DJ Thornely,1052.7999999999988,88
126,DJ Willey,1048.5000000000018,442
127,DJG Sammy,1008.3999999999997,488
128,DJM Short,1018.6000000000003,36
129,DL Chahar,1077.3999999999915,3492
130,DL Vettori,1088.1999999999923,1570
131,DNT Zoysa,990.5000000000008,138
132,DP Nannes,1075.0000000000068,1378
133,DP Vijaykumar,1018.5000000000009,318
134,DR Sams,1081.7999999999965,778
135,DR Smith,997.8999999999985,1114
136,DS Kulkarni,1023.799999999997,3752
137,DT Christian,1031.6999999999935,1844
138,DW Steyn,1021.3999999999708,4564
139,F du Plessis,976.1000000000003,12
140,FA Allen,987.2000000000005,182
141,FH Edwards,1077.2000000000005,300
142,FY Fazal,996.8000000000002,24
143,Fazalhaq Farooqi,1056.4999999999998,324
144,G Coetzee,1027.4000000000021,432
145,GB Hogg,1056.8999999999974,932
146,GC Viljoen,1036.0999999999992,292
147,GD McGrath,1063.4999999999993,658
148,GD Phillips,1027.099999999999,62
149,GH Vihari,1019.5000000000003,86
150,GHS Garton,1013.0000000000007,194
151,GJ Maxwell,1088.9999999999939,1930
152,GR Napier,1010.0999999999998,48
153,GS Sandhu,985.7000000000003,96
154,Gagandeep Singh,950.3999999999988,168
155,Gulbadin Naib,992.6999999999999,12
156,Gurkeerat Singh,1044.399999999999,164
157,Gurnoor Brar,972.3999999999997,42
158,H Sharma,959.6,60
159,HF Gurney,1035.2999999999997,338
160,HH Pandya,1015.4999999999987,2970
161,HR Shokeen,975.3000000000001,426
162,HV Patel,1076.0999999999965,4568
163,Harbhajan Singh,1084.1999999999734,6992
164,Harmeet Singh,1051.2999999999988,1098
165,Harmeet Singh (2),999.5000000000003,50
166,Harpreet Brar,1055.6999999999966,1384
167,Harshit Rana,1076.5999999999956,806
168,I Malhotra,973.6000000000001,12
169,I Sharma,1089.80000000001,4858
170,I Udana,998.9000000000009,364
171,IC Pandey,1071.5000000000002,938
172,IC Porel,999.7000000000003,52
173,IK Pathan,1015.7999999999968,4226
174,IS Sodhi,1073.0999999999972,364
175,Imran Tahir,1133.8999999999855,2680
176,Iqbal Abdulla,1061.6999999999919,1886
177,J Botha,1058.0999999999954,1418
178,J Little,1032.7000000000003,472
179,J Suchith,1049.7999999999984,868
180,J Syed Mohammad,998.700000000001,392
181,J Theron,1049.3000000000002,470
182,J Yadav,1068.9999999999975,796
183,JA Morkel,1045.0999999999897,3614
184,JA Richardson,983.3000000000004,188
185,JC Archer,1115.7999999999975,1974
186,JD Ryder,1021.2000000000018,482
187,JD Unadkat,1008.3000000000014,4388
188,JDP Oram,1000.5000000000014,488
189,JDS Neesham,996.0999999999988,444
190,JE Root,997.4000000000001,24
191,JE Taylor,1033.6000000000004,244
192,JEC Franklin,996.1999999999991,310
193,JH Kallis,1042.8999999999921,3598
194,JJ Bumrah,1160.2999999999886,6370
195,JJ van der Wath,979.4000000000001,152
196,JL Pattinson,1006.8000000000014,444
197,JM Kemp,1025.399999999999,94
198,JO Holder,1020.299999999995,2098
199,JP Behrendorff,1042.0999999999985,758
200,JP Duminy,1042.0999999999938,1402
201,JP Faulkner,995.5999999999998,2574
202,JPR Scantlebury-Searles,972.0999999999998,90
203,JR Hazlewood,1077.700000000004,1244
204,JR Hopes,969.3000000000003,738
205,JW Hastings,1048.499999999998,122
206,Jalaj S Saxena,989.9000000000004,36
207,Jaskaran Singh,999.1999999999997,222
208,Joginder Sharma,969.0999999999995,544
209,K Goel,971.4000000000007,134
210,K Gowtham,1036.399999999998,1198
211,K Kartikeya,1020.1999999999999,482
212,K Khejroliya,968.2000000000002,258
213,K Rabada,1050.7999999999925,3814
214,K Santokie,981.9999999999999,102
215,K Upadhyay,976.9,112
216,K Yadav,978.4000000000007,108
217,KA Jamieson,1018.1000000000001,358
218,KA Maharaj,1025.8999999999992,72
219,KA Pollard,1043.2999999999988,3172
220,KAJ Roach,962.5000000000003,104
221,KC Cariappa,980.5999999999998,448
222,KH Pandya,1074.599999999984,4366
223,KJ Abbott,969.3000000000003,204
224,KK Ahmed,1057.0999999999935,2690
225,KK Cooper,1073.5000000000057,1200
226,KL Nagarkoti,972.1000000000008,370
227,KM Asif,1014.3000000000005,286
228,KMA Paul,1039.699999999999,360
229,KMDN Kulasekara,1074.7999999999993,214
230,KP Appanna,1020.1999999999998,444
231,KP Pietersen,1040.099999999998,360
232,KR Mayers,997.7999999999996,92
233,KR Sen,1028.6999999999996,510
234,KS Williamson,978.7000000000007,36
235,KT Maphaka,966.6,78
236,KV Sharma,1006.9999999999945,3040
237,KW Richardson,1049.4000000000003,690
238,Kamran Khan,1034.199999999999,354
239,Karanveer Singh,992.2999999999987,426
240,Kartik Tyagi,996.8000000000014,916
241,Kuldeep Yadav,1046.1999999999823,3572
242,L Ablish,1002.4000000000002,90
243,L Balaji,1042.9999999999948,3148
244,L Ngidi,1065.0999999999972,684
245,L Wood,950.0000000000005,76
246,LA Carseldine,1016.0999999999998,14
247,LB Williams,1008.5000000000001,84
248,LE Plunkett,968.1999999999996,308
249,LH Ferguson,1015.599999999995,2004
250,LI Meriwala,1011.9,38
251,LJ Wright,1002.8999999999999,150
252,LMP Simmons,990.6999999999999,36
253,LPC Silva,974.4,12
254,LR Shukla,1028.9000000000003,652
255,LRPL Taylor,988.6000000000001,26
256,LS Livingstone,1023.7999999999996,534
257,Lalit Yadav,985.0999999999991,588
258,M Ashwin,1041.9999999999961,1796
259,M Jansen,1035.4000000000021,974
260,M Kartik,1042.4999999999914,2364
261,M Manhas,1001.5000000000005,84
262,M Markande,1024.699999999997,1474
263,M Morkel,1055.000000000008,3398
264,M Muralitharan,1063.3999999999824,3162
265,M Ntini,1059.5000000000018,426
266,M Pathirana,1171.8999999999958,1006
267,M Prasidh Krishna,1070.9000000000044,2462
268,M Shahrukh Khan,995.2999999999998,24
269,M Siddharth,1031.3000000000004,116
270,M Theekshana,1060.3999999999915,1262
271,M Vijay,990.0000000000006,74
272,M de Lange,1017.5000000000023,232
273,MA Khote,995.8999999999999,60
274,MA Starc,1082.4999999999993,1758
275,MA Wood,1069.3999999999996,254
276,MB Parmar,982.2000000000006,38
277,MC Henriques,1037.199999999996,1958
278,MF Maharoof,1084.1999999999941,882
279,MG Bracewell,1043.0999999999995,132
280,MG Johnson,1013.7000000000035,2602
281,MG Neser,972.0,50
282,MJ Clarke,1030.0999999999995,132
283,MJ Henry,962.5999999999999,210
284,MJ McClenaghan,1082.3999999999892,2692
285,MJ Santner,1110.8,740
286,MJ Suthar,985.2,24
287,MK Lomror,1002.3000000000004,188
288,MK Tiwary,960.8000000000003,90
289,MM Ali,1086.199999999996,1540
290,MM Patel,1047.9999999999936,2764
291,MM Sharma,1018.2999999999945,4616
292,MN Samuels,1020.1000000000001,438
293,MP Stoinis,1047.8000000000018,1662
294,MP Yadav,1087.8000000000004,152
295,MR Marsh,1062.8999999999987,1186
296,MS Gony,998.3000000000018,1850
297,MW Short,1009.4999999999999,50
298,Mandeep Singh,979.1999999999999,24
299,Mashrafe Mortaza,984.6000000000001,56
300,Mayank Dagar,973.7000000000007,276
301,Mohammad Asif,977.1000000000017,398
302,Mohammad Hafeez,1027.1,126
303,Mohammad Nabi,1029.7999999999972,838
304,Mohammed Shami,1084.5000000000045,5042
305,Mohammed Siraj,1077.2999999999984,4162
306,Mohit Rathee,978.1,24
307,Mohsin Khan,1034.5999999999956,1014
308,Monu Kumar,1008.6000000000003,32
309,Mujeeb Ur Rahman,1053.0999999999967,904
310,Mukesh Choudhary,1039.4000000000024,596
311,Mukesh Kumar,1039.6000000000004,840
312,Mustafizur Rahman,1074.0999999999976,2706
313,N Burger,1052.8,210
314,N Rana,1031.4999999999977,370
315,N Thushara,1053.7999999999995,344
316,N Wadhera,998.1,24
317,NA Saini,1013.8000000000062,1242
318,NB Singh,1044.8000000000006,50
319,ND Doshi,979.8999999999994,114
320,NJ Rimmington,999.3000000000003,36
321,NL McCullum,1001.9000000000003,60
322,NLTC Perera,999.1000000000014,1430
323,NM Coulter-Nile,1065.8999999999976,1784
324,NT Ellis,1052.4999999999998,730
325,Naman Dhir,961.2999999999997,58
326,Navdeep Saini,1003.5999999999996,152
327,Naveen-ul-Haq,1046.3999999999999,814
328,Nithish Kumar Reddy,967.9000000000011,236
329,Noor Ahmad,1053.7999999999963,1026
330,O Thomas,1075.5999999999992,126
331,OC McCoy,1044.5999999999997,360
332,OF Smith,987.5000000000013,190
333,P Amarnath,934.6000000000018,264
334,P Awana,1018.5999999999929,1548
335,P Dubey,983.9999999999995,134
336,P Kumar,1096.9000000000074,5274
337,P Negi,1059.3999999999946,1466
338,P Parameswaran,1034.9000000000005,318
339,P Prasanth,978.5,12
340,P Ray Barman,960.9999999999998,48
341,P Sahu,992.0000000000007,214
342,P Suyal,1006.2999999999995,214
343,PC Valthaty,1003.5999999999997,306
344,PD Collingwood,1043.699999999999,180
345,PH Solanki,1020.7000000000002,72
346,PJ Cummins,1045.5999999999956,2740
347,PJ Sangwan,1029.100000000001,1810
348,PM Sarvesh Kumar,992.7000000000005,62
349,PP Chawla,1066.5999999999701,7790
350,PP Ojha,1006.999999999994,3890
351,PV Tambe,1038.6999999999948,1348
352,PVD Chameera,988.7000000000023,594
353,PWH de Silva,1064.1999999999991,1114
354,Pankaj Singh,1004.800000000001,622
355,Parvez Rasool,978.4000000000015,400
356,R Ashwin,1072.2999999999665,9358
357,R Bhatia,1058.9999999999795,3322
358,R Dhawan,1032.399999999998,1386
359,R Goyal,991.8000000000003,48
360,R McLaren,981.0000000000011,744
361,R Ninan,993.9000000000003,72
362,R Parag,934.8999999999995,362
363,R Powell,1000.0000000000003,42
364,R Rampaul,1099.5999999999979,556
365,R Ravindra,1015.1000000000001,24
366,R Sai Kishore,1060.6000000000008,382
367,R Sanjay Yadav,992.9000000000002,28
368,R Sathish,981.0000000000003,288
369,R Sharma,1029.799999999996,1870
370,R Shepherd,957.8000000000008,266
371,R Shukla,1004.300000000001,260
372,R Tewatia,1004.9999999999944,1732
373,R Vinay Kumar,1015.9999999999948,4372
374,RA Jadeja,1052.5999999999792,7790
375,RA Shaikh,990.4000000000001,12
376,RA Tripathi,990.1000000000003,12
377,RD Chahar,1055.0999999999958,3394
378,RE van der Merwe,1137.2999999999972,910
379,RG More,1003.4999999999997,74
380,RG Sharma,1012.7999999999993,698
381,RJ Gleeson,986.7000000000004,102
382,RJ Harris,1096.4000000000005,1730
383,RJ Peterson,1019.0000000000007,96
384,RJW Topley,1005.7,214
385,RN ten Doeschate,1018.4999999999997,166
386,RP Meredith,1031.0999999999995,830
387,RP Singh,1051.5999999999992,3748
388,RR Bhatkal,963.4000000000003,24
389,RR Bose,980.1,24
390,RR Powar,1029.199999999995,886
391,RR Raje,1003.2999999999992,288
392,RS Bopara,1051.6,426
393,RS Gavaskar,997.5,12
394,RS Hangargekar,1024.8000000000009,86
395,RV Gomez,1016.6999999999999,194
396,RV Patel,1008.4000000000005,40
397,RW Price,971.5999999999999,36
398,Ramandeep Singh,1050.0999999999995,90
399,Rashid Khan,1037.9999999999654,5802
400,Rasikh Salam,978.9999999999994,414
401,Ravi Bishnoi,1048.1999999999957,2920
402,S Aravind,1053.8000000000002,1576
403,S Badree,1051.1999999999987,526
404,S Dhawan,1018.3999999999999,98
405,S Dube,998.9000000000002,234
406,S Gopal,1014.5000000000016,2000
407,S Joseph,999.6000000000005,60
408,S Kaul,1001.4999999999992,2476
409,S Kaushik,998.1999999999999,420
410,S Ladda,939.2000000000003,282
411,S Lamichhane,1040.4000000000024,422
412,S Midhun,980.6,26
413,S Nadeem,1031.7999999999902,2888
414,S Narwal,962.4999999999998,226
415,S Rana,1002.9999999999998,32
416,S Randiv,1003.0999999999995,360
417,S Sandeep Warrier,1035.8999999999994,352
418,S Sreesanth,1066.5999999999967,1894
419,S Sriram,950.8000000000001,36
420,S Tyagi,995.1000000000015,440
421,S Vidyut,1004.7000000000002,26
422,SA Abbott,975.3999999999997,118
423,SA Yadav,998.2000000000002,12
424,SB Bangar,984.3999999999997,306
425,SB Jakati,983.7999999999936,2202
426,SB Joshi,984.9000000000005,110
427,SB Styris,1011.0999999999996,444
428,SB Wagh,1014.3999999999997,216
429,SC Ganguly,994.5999999999985,560
430,SC Kuggeleijn,990.8999999999997,100
431,SD Chitnis,1004.3000000000002,76
432,SE Bond,1065.8999999999992,382
433,SE Rutherford,998.6000000000006,92
434,SH Johnson,1016.7000000000007,198
435,SJ Srivastava,1012.5000000000026,612
436,SK Raina,1019.2999999999943,1860
437,SK Trivedi,1077.799999999988,3114
438,SK Warne,1093.399999999986,2446
439,SL Malinga,1046.2999999999652,5948
440,SM Boland,1022.7000000000006,86
441,SM Curran,1015.5000000000093,2468
442,SM Harwood,1042.2999999999984,134
443,SM Pollock,1101.0000000000027,560
444,SMSM Senanayake,1089.300000000001,390
445,SN Khan,998.5999999999999,4
446,SN Thakur,1018.7999999999944,3958
447,SP Narine,1127.999999999953,8292
448,SPD Smith,996.6,4
449,SR Tendulkar,972.6999999999997,74
450,SR Watson,1024.000000000002,4274
451,SS Agarwal,994.6000000000004,48
452,SS Cottrell,1057.199999999999,262
453,SS Iyer,1001.5000000000001,12
454,SS Mundhe,1010.3999999999996,14
455,SS Sarkar,987.2999999999998,50
456,SSB Magala,991.3999999999995,74
457,ST Jayasuriya,1048.4999999999955,602
458,STR Binny,1061.7999999999968,1222
459,SW Tait,1082.9999999999986,1068
460,SZ Mulani,1004.5999999999998,66
461,Sachin Baby,1039.9999999999998,20
462,Sandeep Sharma,1081.4999999999934,5850
463,Shahbaz Ahmed,985.5000000000026,1098
464,Shahid Afridi,1031.3999999999996,370
465,Shakib Al Hasan,1064.1999999999894,3030
466,Shashank Singh,1017.6000000000001,38
467,Shivam Mavi,1048.700000000002,1374
468,Shivam Sharma,990.2999999999998,228
469,Shoaib Ahmed,985.7,206
470,Shoaib Akhtar,1056.0000000000011,92
471,Shoaib Malik,1001.7999999999993,116
472,Sikandar Raza,982.6,176
473,Simarjeet Singh,1076.3999999999976,386
474,Sohail Tanvir,1130.7999999999997,530
475,Sumit Kumar,985.8000000000003,44
476,Sunny Gupta,959.8,38
477,Suyash Sharma,1011.7999999999971,528
478,Swapnil Singh,1016.0999999999988,330
479,T Henderson,1009.3000000000004,72
480,T Natarajan,1079.7999999999977,2802
481,T Shamsi,970.2999999999994,240
482,T Stubbs,1054.3000000000002,50
483,T Thushara,1080.5999999999992,288
484,TA Boult,1096.499999999977,4856
485,TG Southee,1040.4999999999984,2524
486,TK Curran,985.0000000000014,504
487,TL Suman,1001.9999999999998,304
488,TM Dilshan,940.9000000000003,550
489,TM Head,954.9000000000009,116
490,TP Sudhindra,936.2,148
491,TS Mills,987.2000000000014,436
492,TU Deshpande,1092.2999999999995,1662
493,Tejas Baroka,992.5999999999999,42
494,Tilak Varma,1000.8999999999995,46
495,UT Yadav,1045.0999999999844,6380
496,Umar Gul,1087.3999999999992,306
497,Umran Malik,1003.3999999999949,1038
498,V Kaverappa,1024.4999999999998,48
499,V Kohli,946.6000000000007,528
500,V Pratap Singh,995.3000000000021,422
501,V Sehwag,949.0999999999993,276
502,V Shankar,1061.7000000000003,516
503,V Viyaskanth,982.7,120
504,VG Arora,1069.6000000000017,836
505,VR Aaron,1009.4000000000013,2130
506,VR Iyer,957.5000000000006,168
507,VRV Singh,953.4999999999991,742
508,VS Malik,1017.6000000000001,424
509,VS Yeligati,979.5,64
510,VY Mahesh,1017.3000000000009,718
511,Vijaykumar Vyshak,1024.8000000000006,486
512,Vivrant Sharma,981.4000000000001,42
513,WA Mota,1014.7999999999995,150
514,WD Parnell,1052.400000000001,1516
515,WG Jacks,976.0999999999996,110
516,WPUJC Vaas,1085.3,576
517,Washington Sundar,1022.2999999999986,2128
518,Y Gnaneswara Rao,995.7999999999998,12
519,Y Nagar,979.9000000000011,144
520,Y Prithvi Raj,994.8999999999996,66
521,Y Venugopal Rao,963.900000000001,444
522,YA Abdulla,1007.400000000001,444
523,YBK Jaiswal,991.0,2
524,YK Pathan,1036.1999999999935,2368
525,YS Chahal,1038.3999999999771,7256
526,Yash Dayal,1050.4000000000024,1230
527,Yash Thakur,1008.2000000000031,864
528,Yudhvir Singh,1005.0000000000002,148
529,Yuvraj Singh,1031.7999999999902,1764
530,Z Khan,1094.3000000000018,4552
